,Name,Brand,Model,Manafacture Year,Color,Mileage,Price,Location,Listing Date
5430,Mercedes CLA 200 2020,Mercedes,CLA 200,2020,Black,0,1850000,Tagamo3 - New Cairo,17/05/2024
5431,Mercedes E 250 2012,Mercedes,E 250,2012,Gray,930000,1700000,06-Oct,17/05/2024
5432,Mercedes C 180 2018,Mercedes,C 180,2018,Gray,1120000,1900000,Sheikh Zayed City,17/05/2024
5433,Mercedes C 180 2022,Mercedes,C 180,2022,Black,108000,2800000,06-Oct,17/05/2024
5434,Mercedes E 200 AMG 2011,Mercedes,E 200 AMG,2011,Silver,1290000,1900000,Alexandria,17/05/2024
5435,Mercedes 200 2024,Mercedes,200,2024,Black,0,1725000,Tagamo3 - New Cairo,17/05/2024
5436,Mercedes E 200 2015,Mercedes,E 200,2015,Brown,800000,2000000,Shobra,17/05/2024
5437,Mercedes C 280 2008,Mercedes,C 280,2008,Dark blue,2960000,900000,06-Oct,17/05/2024
5438,Mercedes C 180 2022,Mercedes,C 180,2022,Silver,120000,2700000,Heliopolis,17/05/2024
5439,Mercedes C 180 2022,Mercedes,C 180,2022,Black,120000,3200000,Cairo,17/05/2024
5440,Mercedes E 200 2014,Mercedes,E 200,2014,Silver,2050000,1600000,Sheraton,16/05/2024
5441,Mercedes C 180 2015,Mercedes,C 180,2015,Black,1650000,1700000,Heliopolis,16/05/2024
5442,Mercedes C 200 AMG 2009,Mercedes,C 200 AMG,2009,White,2500000,1050000,Alexandria,16/05/2024
